instance,part,material,element_type,element_count,pore_pressure_dof_present,permeability_assigned,intended_role,status,notes
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,CONCRETE,C3D8R,572,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,CONCRETE,C3D8R,2080,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,CONCRETE,C3D8R,338,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,CONCRETE,C3D8R,260,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,CONCRETE,C3D8R,2280,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_FISHWAY_I,V15_4_FISHWAY,CONCRETE,C3D8R,4164,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,CONCRETE,C3D8R,400,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,CONCRETE,C3D8R,760,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,CONCRETE,C3D8R,1760,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,CONCRETE,C3D8R,1760,NO,NO,structural-only,PASS,structural-only regions are not converted automatically
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,FRESH_GRANITE,C3D8P,395187,YES,NO,seepage domain,SEEPAGE_ELEMENT_FORMULATION_UNRESOLVED,structural-only regions are not converted automatically
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,FRESH_GRANITE,C3D8R,196114,NO,NO,seepage domain,SEEPAGE_ELEMENT_FORMULATION_UNRESOLVED,structural-only regions are not converted automatically
V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,V15_11_LEFT_COMPACTED_SAND_GRAVEL,Q3AL_III,C3D8P,838,YES,YES,seepage domain,PASS,structural-only regions are not converted automatically
