dam_region,station_global_y_m,minimum_dam_fill_z_m,adjacent_foundation_top_z_m,gap_or_overlap_m,existing_tie_contact_relation,foundation_3052_interpretation,status,notes
P25_SOLID_DAM_SHELL_GRAVEL_F08,346.666667,3055.000000,3057.995610,-2.995610,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,395.833333,3055.000000,3057.936280,-2.936280,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DAM_SHELL_GRAVEL_F08,445.000000,3055.000000,3057.991460,-2.991460,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,150.000000,3055.000000,3057.679930,-2.679930,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,199.166667,3055.000000,3057.011230,-2.011230,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,248.333333,3055.000000,3057.705080,-2.705080,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,297.500000,3055.000000,3057.932860,-2.932860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,346.666667,3055.000000,3057.995610,-2.995610,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,395.833333,3055.000000,3057.936280,-2.936280,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F00,445.000000,3055.000000,3057.991460,-2.991460,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,150.000000,3055.925050,3058.771970,-2.846920,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,199.166667,3055.925050,3058.211180,-2.286130,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,248.333333,3055.925050,3058.706790,-2.781740,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,297.500000,3055.925050,3058.298100,-2.373050,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,346.666667,3055.925050,3058.418700,-2.493650,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,395.833333,3055.925050,3058.610350,-2.685300,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_DRAINAGE_BODY_F03,445.000000,3055.925050,3058.907470,-2.982420,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,150.000000,3055.000000,3057.679930,-2.679930,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,199.166667,3055.000000,3057.011230,-2.011230,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,248.333333,3055.000000,3057.705080,-2.705080,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,297.500000,3055.000000,3057.932860,-2.932860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,346.666667,3055.000000,3057.995610,-2.995610,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,395.833333,3055.000000,3057.936280,-2.936280,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_FILTER_LAYER_F01,445.000000,3055.000000,3057.991460,-2.991460,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,150.000000,3059.165040,3060.800050,-1.635010,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,199.166667,3059.165040,3058.211180,0.953860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,248.333333,3059.165040,3058.706790,0.458250,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,297.500000,3059.165040,3059.132810,0.032230,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,346.666667,3059.165040,3059.618900,-0.453860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,395.833333,3059.165040,3060.281250,-1.116210,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_IMPERMEABLE_FILL_F12,445.000000,3059.165040,3062.120120,-2.955080,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,150.000000,3057.776610,3059.899900,-2.123290,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,199.166667,3057.776610,3058.211180,-0.434570,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,248.333333,3057.776610,3058.706790,-0.930180,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,297.500000,3057.776610,3059.132810,-1.356200,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,346.666667,3057.776610,3059.618900,-1.842290,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,395.833333,3057.776610,3060.281250,-2.504640,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F09,445.000000,3057.776610,3060.707520,-2.930910,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,150.000000,3058.702390,3060.800050,-2.097660,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,199.166667,3058.702390,3058.211180,0.491210,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,248.333333,3058.702390,3058.706790,-0.004400,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,297.500000,3058.702390,3059.132810,-0.430420,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,346.666667,3058.702390,3059.618900,-0.916510,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,395.833333,3058.702390,3060.281250,-1.578860,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_MAIN_ROCKFILL_F11,445.000000,3058.702390,3060.707520,-2.005130,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,150.000000,3058.073970,3060.800050,-2.726080,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,199.166667,3058.073970,3058.211180,-0.137210,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,248.333333,3058.073970,3058.706790,-0.632820,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,297.500000,3058.073970,3059.132810,-1.058840,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,346.666667,3058.073970,3059.618900,-1.544930,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,395.833333,3058.073970,3060.281250,-2.207280,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,445.000000,3058.073970,3060.707520,-2.633550,V13 exact/aggregate tie audit retained; no new contact,3052.00 m not proven as continuous dam-bottom elevation; may be local control,UNRESOLVED,station design foundation surface unavailable; no downward translation or stretch
