instance,part,xmin_m,xmax_m,ymin_m,ymax_m,zmin_m,zmax_m,base_z_min_m,base_z_max_m,top_z_min_m,top_z_max_m,local_thickness_min_m,local_thickness_median_m,local_thickness_max_m,vertical_columns,adjacent_interface_relation,design_evidence_availability,status,notes
LEFT_L12_Q2FGL_III_I,LEFT_L12_Q2FGL_III,-600.000000,900.000000,-700.000000,150.000000,2893.610840,2977.119380,2893.610840,2954.009520,2935.958980,2977.119380,22.392820,22.827880,43.304200,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L13_Q2FGL_II_I,LEFT_L13_Q2FGL_II,-600.000000,900.000000,-700.000000,150.000000,2862.405520,2954.009520,2862.405520,2936.980470,2893.610840,2954.009520,16.500730,16.821040,31.909670,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_L14_Q2FGL_I_I,LEFT_L14_Q2FGL_I,-600.000000,900.000000,-700.000000,150.000000,2738.199950,2936.980470,2738.199950,2869.199950,2862.405520,2936.980470,65.677740,66.953370,127.009280,357,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
LEFT_P2_QUARTZ_SANDSTONE_I,LEFT_P2_QUARTZ_SANDSTONE,-600.000000,900.000000,-1000.000000,-700.000000,2600.000000,3352.399900,2600.000000,2600.000000,3106.399900,3352.399900,506.399900,651.899900,752.399900,84,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_FRESH_GRANITE_I,RIGHT_FRESH_GRANITE,-600.000000,900.000000,445.000000,850.000000,2600.000000,3201.399900,2600.000000,2600.000000,2884.399900,3201.399900,284.399900,495.660520,601.399900,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_Q4_COLLUVIAL_I,RIGHT_Q4_COLLUVIAL,-600.000000,900.000000,445.000000,850.000000,3074.899900,3426.399900,3074.899900,3423.399900,3075.399900,3426.399900,0.500000,2.049925,3.000000,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_R04_Q3AL_V_I,RIGHT_R04_Q3AL_V,-600.000000,900.000000,445.000000,850.000000,3059.399900,3423.399900,3059.399900,3376.399900,3074.899900,3423.399900,15.500000,33.699950,47.000000,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED,-600.000000,900.000000,445.000000,850.000000,2884.399900,3331.399900,2884.399900,3201.399900,3014.399900,3331.399900,130.000000,130.000000,130.000000,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_STRONG_UNLOADED,-600.000000,900.000000,445.000000,850.000000,3029.399900,3376.399900,3029.399900,3346.399900,3059.399900,3376.399900,30.000000,30.000000,30.000000,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED,-600.000000,900.000000,445.000000,850.000000,3014.399900,3346.399900,3014.399900,3331.399900,3029.399900,3346.399900,15.000000,15.000000,15.000000,168,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_FRESH_GRANITE_I,RIVER_FRESH_GRANITE,-600.000000,900.000000,150.000000,445.000000,2600.000000,2869.707520,2600.000000,2600.000000,2817.034910,2869.707520,217.034910,244.080810,269.707520,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R02_Q4AL_SGR2_I,RIVER_R02_Q4AL_SGR2,-600.000000,900.000000,150.000000,445.000000,3050.699220,3060.707520,3050.699220,3060.351320,3052.034910,3060.707520,0.355950,0.834710,1.335690,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R05_Q3AL_IV2_I,RIVER_R05_Q3AL_IV2,-600.000000,900.000000,150.000000,445.000000,3048.788330,3060.351320,3048.788330,3059.841800,3050.699220,3060.351320,0.509520,1.194340,1.911140,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R06_Q3AL_IV1_I,RIVER_R06_Q3AL_IV1,-600.000000,900.000000,150.000000,445.000000,3043.984130,3059.841800,3043.984130,3058.560790,3048.788330,3059.841800,1.281000,3.002680,4.804200,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R07_Q3AL_III_I,RIVER_R07_Q3AL_III,-600.000000,900.000000,150.000000,445.000000,3041.191890,3058.560790,3041.191890,3057.816160,3043.984130,3058.560790,0.744390,1.744880,2.792240,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R08_Q3AL_II_I,RIVER_R08_Q3AL_II,-600.000000,900.000000,150.000000,445.000000,3037.751220,3057.816160,3037.751220,3056.898440,3041.191890,3057.816160,0.917480,2.150630,3.440920,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R09_Q3AL_I_I,RIVER_R09_Q3AL_I,-600.000000,900.000000,150.000000,445.000000,3035.721440,3056.898440,3035.721440,3056.357420,3037.751220,3056.898440,0.541010,1.268560,2.029790,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R10_Q2FGL_V_I,RIVER_R10_Q2FGL_V,-600.000000,900.000000,150.000000,445.000000,3030.394780,3056.357420,3030.394780,3054.936770,3035.721440,3056.357420,1.420410,3.329340,5.326910,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R11_Q2FGL_IV_I,RIVER_R11_Q2FGL_IV,-600.000000,900.000000,150.000000,445.000000,3024.136470,3054.936770,3024.136470,3053.267820,3030.394780,3054.936770,1.668700,3.911380,6.258310,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R12_Q2FGL_III_I,RIVER_R12_Q2FGL_III,-600.000000,900.000000,150.000000,445.000000,3015.098630,3053.267820,3015.098630,3050.857910,3024.136470,3053.267820,2.409910,5.648680,9.037850,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R13_Q2FGL_II_I,RIVER_R13_Q2FGL_II,-600.000000,900.000000,150.000000,445.000000,3008.439210,3050.857910,3008.439210,3049.082030,3015.098630,3050.857910,1.775880,4.162110,6.659670,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_R14_Q2FGL_I_I,RIVER_R14_Q2FGL_I,-600.000000,900.000000,150.000000,445.000000,2992.034910,3049.082030,2992.034910,3044.707520,3008.439210,3049.082030,4.374260,10.252690,16.404300,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_ROCK_DEEP_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED,-600.000000,900.000000,150.000000,445.000000,2817.034910,2999.707520,2817.034910,2869.707520,2947.034910,2999.707520,130.000000,130.000000,130.000000,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_ROCK_STRONG_UNLOADED_I,RIVER_ROCK_STRONG_UNLOADED,-600.000000,900.000000,150.000000,445.000000,2962.034910,3044.707520,2962.034910,3014.707520,2992.034910,3044.707520,30.000000,30.000000,30.000000,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED,-600.000000,900.000000,150.000000,445.000000,2947.034910,3014.707520,2947.034910,2999.707520,2962.034910,3014.707520,15.000000,15.000000,15.000000,189,V13 exact/aggregate ties retained; river/right aggregate remains nonconformal,project layer naming only; no station-specific design surfaces,UNRESOLVED_DESIGN_SURFACE,model measured; material-name match alone is not a design PASS
