interface_name,upstream_side,downstream_side,por_field_available,continuity_result,evidence
V12_TIE_027,RIGHT_Q4_COLLUVIAL_I,RIGHT_HIGH_TERRACE_COVER_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_028,RIGHT_R04_Q3AL_V_I,RIGHT_ROCK_STRONG_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_029,RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_WEAK_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_030,RIGHT_ROCK_WEAK_UNLOADED_I,RIGHT_ROCK_DEEP_UNLOADED_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_031,RIGHT_ROCK_DEEP_UNLOADED_I,RIGHT_FRESH_GRANITE_I,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_032,P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_033,P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_034,P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_DRAINAGE_BODY_F03-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_035,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DRAINAGE_BODY_F03-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_036,P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F08-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_037,P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_038,P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_IMPERMEABLE_FILL_F12-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_039,P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_IMPERMEABLE_FILL_F12-1,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_040,LEFT_RIVER_GEOLOGY_NONCONFORMAL,LEFT_RIVER_GEOLOGY_NONCONFORMAL,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_041,RIVER_RIGHT_GEOLOGY_NONCONFORMAL,RIVER_RIGHT_GEOLOGY_NONCONFORMAL,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_042,DAM_RIVER_FOUNDATION_NONCONFORMAL,DAM_RIVER_FOUNDATION_NONCONFORMAL,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_GEOMEMBRANE_FILL,V12_UPSTREAM_SURFACE,V12_GEOMEMBRANE_FACE,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
V12_TIE_GEOMEMBRANE_CUTOFF,V12_CUTOFF_TOP_SURFACE,V12_GEOMEMBRANE_TOP,PRESENT IN INPUT OUTPUT REQUEST,NOT_VERIFIED,No reproducible interface-integrated POR/flux extraction was completed
