part,changed,expected,status,notes
V15_4_ECO_RELEASE_CENTRAL_PIER,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_RIGHT_PIER,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINTEL_01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINTEL_02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_TOP_CAP,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_APPROACH_SLAB,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_OUTLET_SLAB,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_ECO_RELEASE_LINK_TO_BASIN,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_LEFT_BANK_SUBDAM,YES,YES,PASS,V15.11 requested local scope
V15_4_FISHWAY,YES,YES,PASS,V15.11 requested local scope
V15_4_FISHWAY_OUTLET_CHAMBER,YES,YES,PASS,V15.11 requested local scope
V15_4_FISHWAY_UPSTREAM_OUTLET,YES,YES,PASS,V15.11 requested local scope
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_5_REFINED_P25_SOLID_CUTOFF_WALL_F13_1,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_5_REFINED_V12_UPSTREAM_GEOMEMBRANE_1,NO,NO,PASS,V15.10 geometry retained byte-for-byte
V15_7_FOUNDATION_GEOLOGY,YES,YES,PASS,V15.11 requested local scope
V15_11_LEFT_COMPACTED_SAND_GRAVEL,YES,YES,PASS,new local C3D8P engineered backfill part
