instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,nodes,elements,mesh_status
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,SPILLWAY,-20.000,10.000,30.000,37.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,SPILLWAY,-20.000,10.000,40.000,47.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,SPILLWAY,-20.000,10.000,50.000,57.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,SPILLWAY,-20.000,10.000,60.000,67.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,SPILLWAY,-20.000,10.000,70.000,77.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,SPILLWAY,-20.000,10.000,80.000,87.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,SPILLWAY,-20.000,10.000,90.000,97.000,3055.230,3079.000,6200,5040,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,SPILLWAY,10.000,38.000,16.000,133.000,3045.000,3047.500,1872,1128,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,SPILLWAY,38.000,145.000,16.000,133.000,3045.000,3047.500,6336,4042,NEW_LOCAL_REFINED_MESH
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,NATURAL_RIVERBED,145.000,245.000,16.000,133.000,3037.000,3043.000,1050,480,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,ECO_RELEASE,-35.000,-5.000,-15.000,-2.500,3051.500,3058.000,640,420,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,ECO_RELEASE,-35.000,-5.000,-15.000,-12.000,3058.000,3079.000,2728,1890,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,ECO_RELEASE,-35.000,-5.000,-9.500,-7.000,3058.000,3079.000,2728,1890,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,ECO_RELEASE,-35.000,-5.000,-4.500,-2.500,3058.000,3079.000,2046,1260,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,ECO_RELEASE,-35.000,-5.000,-12.000,-9.500,3063.000,3079.000,2108,1440,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,ECO_RELEASE,-35.000,-5.000,-7.000,-4.500,3063.000,3079.000,2108,1440,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_TOP_CAP_I,V15_4_ECO_RELEASE_TOP_CAP,ECO_RELEASE,-35.000,-19.000,-15.000,-2.500,3077.000,3079.000,714,416,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,ECO_RELEASE,-5.000,25.000,-15.000,-2.500,3050.000,3058.000,640,420,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,ECO_RELEASE,25.000,38.000,-15.000,-2.500,3050.000,3051.000,588,338,NEW_LOCAL_REFINED_MESH
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,ECO_RELEASE,25.000,38.000,-2.500,16.000,3049.000,3050.000,840,494,NEW_LOCAL_REFINED_MESH
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,LEFT_BANK_SUBDAM,-112.000,-64.000,-122.000,-15.000,3030.000,3079.000,36573,29238,NEW_LOCAL_REFINED_MESH
V15_4_FISHWAY_I,V15_4_FISHWAY,FISHWAY,-101.000,442.000,-512.690,-58.120,3053.000,3076.000,11438,3327,NEW_LOCAL_REFINED_MESH
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,FISHWAY,-101.000,-97.000,-375.120,-355.120,3073.000,3079.000,903,400,NEW_LOCAL_REFINED_MESH
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,FISHWAY,-101.000,-97.000,-512.690,-475.120,3074.000,3079.000,1170,760,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,POWERHOUSE_FLUSHING,-30.000,24.000,-97.100,-93.600,3037.000,3046.000,1750,716,NEW_LOCAL_REFINED_MESH
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,POWERHOUSE_FLUSHING,-30.000,24.000,-43.800,-40.300,3037.000,3046.000,1750,716,NEW_LOCAL_REFINED_MESH
